date,TEVA,IBM,UAA,WMT,XOM,TSLA
01-01-20,10.39999962,137.4091797,20.18000031,114.4899979,62.11999893,43.37133408
01-02-20,11.52999973,124.426384,14.18999958,107.6800003,51.43999863,44.53266525
01-03-20,8.979999542,106.0516281,9.210000038,113.6200027,37.97000122,34.93333435
01-04-20,10.73999977,120.0382385,10.42000008,121.5500031,46.47000122,52.12533188
01-05-20,12.52999973,119.4072647,8.75,124.0599976,45.47000122,55.66666794
01-06-20,12.32999992,115.4588928,9.739999771,119.7799988,44.72000122,71.98733521
01-07-20,11.53999996,117.5334625,10.52000046,129.3999939,42.08000183,95.38400269
01-08-20,9.869999886,117.8871918,9.81000042,138.8500061,39.93999863,166.1066742
01-09-20,9.010000229,116.319313,11.22999954,139.9100037,34.33000183,143.0033264
01-10-20,8.720000267,106.7495193,13.84000015,138.75,32.61999893,129.3466644
01-11-20,9.510000229,118.0879517,16.56999969,152.7899933,38.13000107,189.1999969
01-12-20,9.649999619,120.3441696,17.17000008,144.1499939,41.22000122,235.2233276
01-01-21,11.77999973,113.8718948,17.5,140.4900055,44.84000015,264.5100098
01-02-21,10.76000023,113.6998062,21.88999939,129.9199982,54.36999893,225.1666718
01-03-21,11.53999996,127.3996201,22.15999985,135.8300018,55.83000183,222.6433258
01-04-21,10.69999981,135.6405334,24.30999947,139.9100037,57.24000168,236.4799957
01-05-21,10.39999962,137.4187317,22.57999992,142.0299988,58.36999893,208.406662
01-06-21,9.899999619,140.1434021,21.14999962,141.0200043,63.08000183,226.5666656
01-07-21,9.649999619,134.7610016,20.45000076,142.5500031,57.56999969,229.0666656
01-08-21,9.420000076,134.1682587,23.13999939,148.1000061,54.52000046,245.2400055
01-09-21,9.739999771,132.8202667,20.18000031,139.3800049,58.81999969,258.4933472
01-10-21,8.739999771,119.5984726,21.95999908,149.4199982,64.47000122,371.3333435
01-11-21,8.25,117.0999985,23.59000015,140.6300049,59.84000015,381.5866699
01-12-21,8.010000229,133.6600037,21.19000053,144.6900024,61.18999863,352.2600098
01-01-22,8.13,133.570007,18.83,139.809998,75.959999,312.23999
01-02-22,9.39,122.510002,17.889999,135.160004,78.419998,290.143341
01-03-22,8.71,130.020004,17.02,148.919998,82.589996,359.200012
01-04-22,9.1,132.210007,15.36,152.990005,85.25,290.253326
01-05-22,7.52,138.839996,10.58,128.630005,96,252.753326
01-06-22,9.38,141.190002,8.33,121.580002,85.639999,224.473328
01-07-22,9.04,130.789993,9.26,132.050003,96.93,297.149994
01-08-22,8.07,128.449997,8.42,132.550003,95.589996,275.609985
01-09-22,8.92,118.809998,6.65,129.699997,87.309998,265.25
01-10-22,8.77,138.289993,7.45,142.330002,110.809998,227.539993
01-11-22,9.12,148.899994,10,152.419998,111.339996,194.699997
01-12-22,10.52,140.889999,10.16,141.789993,110.300003,123.18
